startTime,endTime,startIdx,endIdx,classification
748898,1065866,24000,41999,3
3587647,3947967,154000,177999,3
5777079,6101113,268000,287999,3
7467856,7805098,358000,379999,2
8443297,8651795,412000,425999,2
10419560,10717402,526000,545999,2
11538632,11703163,584000,593999,2
14079276,14326933,708000,721999,4
16032032,16285939,804000,817999,4
17221851,17366366,856000,863999,4
18085916,18406199,902000,919999,4
20445332,20660565,1016000,1027999,4
21749037,21948559,1084000,1105999,5
22650371,22782836,1148000,1159999,5
23738030,23984228,1226000,1247999,5
24697594,24878536,1282000,1295999,5
25703923,26044765,1350000,1377999,5
27825477,27984865,1454000,1467999,5
28955194,29253192,1532000,1553999,5
29869249,30043022,1584000,1595999,5
30880142,31160326,1638000,1657999,3
32097801,32313342,1696000,1707999,3
33058129,33382757,1744000,1763999,3
34898254,35070825,1826000,1835999,3
36157719,36373914,1882000,1897999,3
37644041,37797368,1952000,1961999,3
39138982,39360294,2024000,2037999,2
40689779,40826225,2090000,2097999,2
