startTime,endTime,startIdx,endIdx,classification
7465139,7519581,526000,531999,6
10058925,10293716,813000,842999,6
11453094,11681376,945000,975999,6
12259942,12694602,1036000,1092999,6
20983977,21313948,1713000,1741999,6
26765447,26879600,2612000,2624999,7
37504462,38381901,3467000,3556999,7
41375076,41457111,3785000,3794999,7
49834864,50227871,4516000,4554999,8
50561468,50803678,4584000,4610999,8
51144076,51232602,4641000,4647999,8
52238145,52372090,4727000,4740999,8
53196816,53461090,4816000,4843999,8
53618129,53705534,4859000,4868999,8
54503324,54680230,4960000,4982999,8
55504151,55618180,5080000,5093999,8
57913860,58098801,5403000,5425999,8
60466724,62171755,5681000,5830999,8
