startTime,endTime,startIdx,endIdx,classification
2159225,2461517,118000,139999,3
3004268,3613005,178000,222999,3
4098133,4418848,254000,275999,3
8120915,10049711,516000,654999,3
25823895,25964201,1707000,1716999,4
29641878,29802473,1965000,1976999,4
47359997,47583426,3115000,3135999,5
47921890,48080906,3161000,3174999,5
48459028,48587461,3201000,3210999,5
59453106,60136999,3932000,3982999,2
60999292,61028697,4041000,4042999,2
64308035,64421477,4265000,4272999,4
64883897,65040587,4303000,4314999,4
65576177,65957718,4351000,4376999,4
66993584,67282607,4450000,4472999,4
74256548,74556370,4930000,4954999,3
75491854,75687866,5015000,5030999,3
79285270,79852335,5287000,5332999,2
