startTime,endTime,startIdx,endIdx,classification
5846389,7326034,19000,24999,0
9646270,10510204,34000,38999,0
11014773,12171471,41000,45999,0
13911403,15081767,51000,54999,0
18111336,20231189,64000,71999,0
21201684,21693217,75000,76999,0
22995517,23945323,81000,84999,0
25291118,25752534,89000,90999,0
29378537,30081157,102000,104999,0
31138110,31973647,108000,112999,0
33153549,33918102,117000,120999,0
34846361,36034212,124000,128999,0
36675673,37033820,131000,132999,0
40862228,42446849,149000,155999,0
61865110,63314833,222000,227999,0
