startTime,endTime,startIdx,endIdx,classification
147668,199228,4000,8999,0
636981,723027,44000,52999,0
930317,999884,70000,76999,0
1192820,1321287,92000,101999,0
1559591,1634512,123000,131999,0
1815785,2036684,147000,163999,0
2299014,2838584,183000,220999,0
3247240,3361491,249000,257999,0
3519310,3599439,268000,274999,0
3873493,4168069,295000,315999,0
4364982,4430198,330000,334999,0
7290337,7344628,534000,537999,0
7555352,7807741,552000,568999,0
8893697,9012725,638000,645999,0
9200349,9427155,657000,670999,0
14029368,14079910,970000,973999,0
14283785,14353789,987000,991999,0
14737885,14816511,1015000,1020999,0
15016876,15067971,1034000,1037999,0
15324941,15402944,1055000,1060999,0
15599674,15669385,1074000,1079999,0
15841151,15930414,1092000,1098999,0
16872634,16934683,1160000,1164999,1
23660738,23710354,1629000,1633999,0
23880213,23901532,1648000,1649999,0
24893030,24919124,1727000,1728999,0
25307959,25457933,1756000,1765999,0
26836386,27028514,1856000,1867999,0
27434094,27621140,1893000,1904999,0
31584812,31653545,2179000,2183999,0
40429196,40489367,2734000,2737999,0
40694625,40929447,2751000,2765999,0
41261667,41333177,2786000,2790999,0
41459024,41505795,2798000,2800999,0
42644344,42704665,2866000,2869999,0
