startTime,endTime,startIdx,endIdx,classification
8202733,10168446,169000,218999,6
10391884,13373822,228000,280999,6
14817748,15712305,324000,348999,6
17439124,19345557,387000,457999,6
20384781,20937654,477000,500999,6
21729253,22553310,525000,555999,6
23593957,24060300,581000,611999,6
28540349,28833329,798000,813999,6
47750101,48120366,1119000,1129999,7
53506331,55236729,1229000,1260999,7
58898933,66386425,1322000,1414999,7
71749833,72639942,1711000,1742999,7
73394638,80511865,1769000,1976999,7
83677321,87274775,2148000,2355999,8
87713820,94804755,2395000,2633999,8
95564451,97024346,2685000,2772999,8
