startTime,endTime,startIdx,endIdx,classification
2637542,2918291,102000,119999,3
5618785,5743849,272000,279999,3
7463413,7614793,378000,389999,2
10053190,10153955,522000,527999,2
11518024,11764090,608000,621999,4
14320848,14719949,740000,761999,4
19748297,19897870,1062000,1075999,3
21289781,22508947,1158000,1219999,3
25276260,28028841,1378000,1525999,2
34091522,34198486,1844000,1851999,5
38101378,38175062,2078000,2083999,3
39883500,40958961,2178000,2239999,3
42563982,42738224,2328000,2339999,2
56423945,56766342,3032000,3055999,3
57848245,61100415,3114000,3285999,3
62660671,62827800,3370000,3381999,2
70441874,70494906,3756000,3759999,5
