startTime,endTime,startIdx,endIdx,classification
4243347,8427774,265000,379999,6
11559797,14320828,567000,639999,6
19038328,19103540,1046000,1049999,7
23186771,23504099,1428000,1457999,7
28851587,29394634,1825000,1844999,7
30897663,31717969,1924000,1962999,7
32264944,33569423,1998000,2053999,7
35137339,40748595,2140000,2346999,7
45042495,45358190,2630000,2639999,7
48292931,48376390,2926000,2929999,7
49770045,50256073,3000000,3013999,7
55241807,55876165,3295000,3332999,8
56293926,60488095,3348000,3477999,8
