startTime,endTime,startIdx,endIdx,classification
2611172,4963460,67000,129999,3
7150371,9094396,219000,276999,2
9489216,9874664,284000,295999,2
13914006,15333272,427000,458999,4
18887861,20953490,572000,638999,5
24132089,26226527,746000,799999,3
28764327,30379571,879000,932999,2
40051672,41072923,1221000,1241999,5
42608906,43664708,1285000,1300999,4
44139475,46956060,1316000,1376999,3
50782155,53442474,1473000,1538999,2
58488256,60433994,1666000,1710999,4
63484377,68615456,1817000,1887999,3
