startTime,endTime,startIdx,endIdx,classification
97350,2320336,0,20999,0
2464141,3845186,22000,34999,0
4537841,5680242,40000,48999,0
6759388,7167757,56000,58999,0
7469536,7913459,61000,64999,0
8644999,12620923,70000,98999,0
13508142,14996257,105000,116999,0
15269405,18222020,119000,144999,0
18346226,19235729,146000,153999,0
19810773,21241758,158000,168999,0
21663694,25072521,172000,197999,0
25550329,26397605,202000,207999,0
26397667,29427289,208000,229999,0
30268184,36116908,236000,299999,0
36425453,38035129,303000,319999,0
39119807,44214518,331000,387999,0
44567909,45388226,391000,397999,0
46428869,47586517,406000,415999,0
47471957,47950918,415000,418999,0
49972576,50135672,434000,435999,0
50512148,50790011,439000,441999,0
51218014,51501831,445000,447999,0
51643040,52394696,449000,455999,0
52543668,53186176,457000,461999,0
53349021,54362055,463000,470999,0
54936740,55920542,475000,482999,0
56538556,57511516,488000,496999,0
57645770,58909399,498000,510999,0
59042557,59217418,512000,513999,0
59351282,60353229,515000,523999,0
