startTime,endTime,startIdx,endIdx,classification
3811787,4161668,113828,139275,2
5271793,5581749,168735,194792,2
6831787,7071614,232581,252348,2
8261799,8491776,291263,310542,2
9681783,9891776,342048,362581,2
11081790,11291770,396568,418876,2
12531793,12691772,463680,485955,2
13931780,14151776,544265,567225,2
15451783,15711723,620204,649564,2
17031804,17221769,707217,734408,2
18531851,18741697,806671,820249,2
19881848,20131705,843186,859359,2
21581780,21741676,889697,903623,2
23161802,23371703,931242,946964,2
24531784,24791764,1005596,1035640,2
26631815,26921760,1116169,1140096,2
26581862,26791765,1114891,1134738,2
28471854,28711734,1226620,1241688,2
30401788,30631774,1294988,1308788,2
32481832,32711776,1370103,1391688,2
34381831,34591683,1450661,1464116,2
40481780,40721772,1613077,1651229,3
42381810,42631763,1734105,1761294,3
44221824,44451776,1839078,1866045,3
46211817,46491701,1938165,1969661,3
48331781,48551743,2058893,2085994,3
50211782,50411764,2151535,2173834,3
52131803,52311772,2242065,2274361,3
54011781,54221769,2356035,2388247,3
55921784,56151772,2462894,2495711,3
57961801,58171776,2573366,2601706,3
59731784,59941763,2675365,2702512,3
61541857,61761754,2757052,2785589,3
63551847,63761750,2846695,2870684,3
65531784,65781772,2935512,2960891,3
67531802,67751778,3034011,3064625,3
69341815,69581777,3122039,3148423,3
71021789,71231766,3206400,3230347,3
72781780,73021743,3282041,3308200,3
74511784,74741740,3358711,3384280,3
76281790,76511764,3460764,3489769,3
83041795,83431740,3659597,3672349,2
85321818,85641767,3729306,3749097,2
87281814,87751774,3781588,3791511,2
89661782,90071740,3833858,3845306,2
91781807,92111708,3881239,3895717,2
93881800,94301608,3942266,3959766,2
96031808,96331743,4003787,4018150,2
98201806,98611724,4059083,4071686,2
100531894,100871777,4112728,4126964,2
102351805,102731708,4168170,4179789,2
104631789,104951699,4224836,4238896,2
106491789,106991763,4283281,4295694,2
108551824,109061767,4346768,4363392,2
110731807,111081754,4416837,4440689,2
113081781,113451770,4513437,4531387,2
114921795,115501762,4565595,4595965,2
117201794,117741731,4642831,4680972,2
119571807,120081766,4736347,4755383,2
121831814,122231757,4787596,4802276,2
124311845,125111760,4850914,4876481,2
127331792,127661625,4934898,4958752,3
129282167,129501762,5007716,5026606,3
131381780,131641735,5089267,5116994,3
133241789,133581777,5208221,5237396,3
135141793,135461769,5302869,5323982,3
137261840,137481751,5383058,5398879,3
139501792,139751744,5442817,5457431,3
141681795,142021762,5514211,5532685,3
143881841,144191776,5596110,5612915,3
146061836,146401743,5670937,5685307,3
148031789,148321599,5724991,5743448,3
150161933,150391746,5783757,5802803,3
152521905,152781775,5866458,5880963,3
154611887,154931598,5923824,5941256,3
157081782,157451777,6018640,6041440,3
159981810,160261773,6127528,6145214,3
162581779,162911712,6214377,6232719,3
164801799,165071750,6292106,6315451,3
167281786,167671772,6394613,6417160,3
169671857,169991775,6479515,6495116,3
181031784,181391767,6801650,6831454,1
183181819,183481691,6883993,6904733,1
185211783,185481773,6972869,6995861,1
187091804,187311753,7056387,7076222,1
188991784,189321688,7127875,7149062,1
191131803,191381757,7210064,7232146,1
192811785,193161752,7295212,7319054,1
194491781,194861509,7387561,7409343,1
196431793,196631774,7451554,7467795,1
198481946,198771738,7532333,7551666,1
200351790,200591766,7619009,7636474,1
202351811,202641643,7689882,7708991,1
204621791,204851754,7771145,7788039,1
207071790,207311755,7858013,7886687,1
209231788,209541762,7957429,7978870,1
211381780,211671755,8031010,8049610,1
213551787,213871758,8110483,8134652,1
215741782,216071746,8208779,8234470,1
217761854,218021777,8320667,8340111,1
219581794,219881749,8393547,8414767,1
224931833,225251732,8568759,8603621,2
226831785,227141769,8664737,8688441,2
229001812,229271772,8748883,8779435,2
230941781,231251776,8858625,8884471,2
233021789,233331756,8939682,8958673,2
234761784,235101700,9030813,9050077,2
237031789,237361710,9143029,9165646,2
239081829,239411778,9226657,9247902,2
241541798,241771762,9312303,9327971,2
243961787,244331767,9382970,9402646,2
246431810,246741774,9467083,9500751,2
248861789,249091754,9598649,9614742,2
251251821,251511764,9676933,9702321,2
253521799,253921762,9774661,9795274,2
256081784,256341706,9851460,9868122,2
258381800,258631673,9932887,9948736,2
260731779,260951769,10013283,10030845,2
262821798,263101765,10091114,10108784,2
264881820,265221725,10153417,10185125,2
267071840,267341753,10249893,10266272,2
