collegeName,country,dateOfBirthUTC,firstName,heightFeet,heightInches,heightMeters,isActive,jersey,lastAffiliation,lastName,nbaDebutYear,personId,pos,teamId,temporaryDisplayName,weightKilograms,weightPounds,yearsPro
Pittsburgh,New Zealand,1993-07-20,Steven,7,0,2.13,1,12,Pittsburgh/New Zealand,Adams,2013,203500,C,1610612760,"Adams, Steven",120.2,265,6
Kentucky,USA,1997-07-18,Bam,6,10,2.08,1,13,Kentucky/USA,Adebayo,2017,1628389,C-F,1610612748,"Adebayo, Bam",115.7,255,2
University of Louisville,South Sudan,1997-02-01,Deng,6,7,2.01,1,, South Sudan/South Sudan,Adel,2018,1629061,F,1610612751,"Adel, Deng",90.7,200,1
Texas,USA,1985-07-19,LaMarcus,6,11,2.11,1,12,Texas/USA,Aldridge,2006,200746,C-F,1610612759,"Aldridge, LaMarcus",117.9,260,13
Tennessee,Canada,1996-10-21,Kyle,6,11,2.11,1,,Tennessee/Canada,Alexander,,1629734,F,1610612748,"Alexander, Kyle",99.8,220,0
Virginia Tech,Canada,1998-09-02,Nickeil,6,5,1.96,1,0, Canada/Canada,Alexander-Walker,,1629638,G,1610612740,"Alexander-Walker, Nickeil",92.5,204,0
Duke University,USA,1995-10-08,Grayson,6,5,1.96,1,,Duke University/USA,Allen,2018,1628960,G,1610612763,"Allen, Grayson",89.8,198,1
Texas,USA,1998-04-21,Jarrett,6,11,2.11,1,31,Texas/USA,Allen,2017,1628386,C,1610612751,"Allen, Jarrett",107.5,237,2
Arizona,USA,1993-01-15,Kadeem,6,3,1.9,1,0,ArizonaUSA/USA,Allen,2017,1628443,G,1610612752,"Allen, Kadeem",90.7,200,2
Wake Forest,USA,1990-09-21,Al-Farouq,6,9,2.06,1,2,Wake Forest/USA,Aminu,2010,202329,F,1610612753,"Aminu, Al-Farouq",99.8,220,9
UCLA,USA,1993-09-20,Kyle,6,9,2.06,1,1,UCLA/USA,Anderson,2014,203937,F,1610612763,"Anderson, Kyle",104.3,230,5
 ,Greece,1994-12-06,Giannis,6,11,2.11,1,34,Greece/Greece,Antetokounmpo,2013,203507,F,1610612749,"Antetokounmpo, Giannis",109.8,242,6
University of Dayton,Greece,1997-11-20,Kostas,6,10,2.08,1,37,University of Dayton/Greece,Antetokounmpo,2018,1628961,F,1610612747,"Antetokounmpo, Kostas",90.7,200,1
 ,Greece,1992-07-18,Thanasis,6,7,2.01,1,, Greece/Greece,Antetokounmpo,2015,203648,F,1610612749,"Antetokounmpo, Thanasis",93.0,205,1
Indiana,United Kingdom,1997-07-17,OG,6,8,2.03,1,3,Indiana/United Kingdom,Anunoby,2017,1628384,F,1610612761,"Anunoby, OG",105.2,232,2
Villanova,USA,1994-03-26,Ryan,6,3,1.9,1,51,Villanova/USA,Arcidiacono,2017,1627853,G,1610612741,"Arcidiacono, Ryan",90.7,200,2
UCLA,USA,1985-06-30,Trevor,6,8,2.03,1,0,UCLA/USA,Ariza,2004,2772,F,1610612758,"Ariza, Trevor",97.5,215,15
Texas,USA,1987-11-10,D.J.,6,0,1.83,1,14,Texas/USA,Augustin,2008,201571,G,1610612753,"Augustin, D.J.",83.0,183,11
University of Arizona,Bahamas,1998-07-23,Deandre,7,1,2.16,1,22,University of Arizona/Bahamas,Ayton,2018,1629028,C,1610612756,"Ayton, Deandre",113.4,250,1
Florida State,USA,1995-08-30,Dwayne,6,7,2.01,1,7,Florida State/USA,Bacon,2017,1628407,G-F,1610612766,"Bacon, Dwayne",100.2,221,2
Duke University,USA,1999-03-14,Marvin,6,11,2.11,1,35,Duke University/USA,Bagley III,2018,1628963,F,1610612758,"Bagley III, Marvin",106.1,234,1
UCLA,USA,1997-10-27,Lonzo,6,6,1.98,1,2,UCLA/USA,Ball,2017,1628366,G,1610612740,"Ball, Lonzo",86.2,190,2
University of Texas at Austin,USA,1998-05-12,Mo,7,1,2.16,1,5,University of Texas at Austin/USA,Bamba,2018,1628964,C,1610612753,"Bamba, Mo",109.3,241,1
North Carolina,USA,1992-05-30,Harrison,6,8,2.03,1,40,North Carolina/USA,Barnes,2012,203084,F,1610612758,"Barnes, Harrison",102.1,225,7
Duke University,Canada,2000-07-14,RJ,6,7,2.01,1,9, Canada/Canada,Barrett,,1629628,F-G,1610612752,"Barrett, RJ",91.6,202,0
Memphis,USA,1991-01-06,Will,6,6,1.98,1,5,Memphis/USA,Barton,2012,203115,G,1610612743,"Barton, Will",86.2,190,7
Ohio State University,USA,1996-01-23,Keita,6,9,2.06,1,31,Ohio State University/USA,Bates-Diop,2018,1628966,F,1610612750,"Bates-Diop, Keita",103.9,229,1
 ,France,1988-12-14,Nicolas,6,8,2.03,1,5,Le Mans/France,Batum,2008,201587,F-G,1610612766,"Batum, Nicolas",90.7,200,11
Washington State,Australia,1986-12-09,Aron,6,10,2.08,1,46,Washington State/Australia,Baynes,2012,203382,C-F,1610612756,"Baynes, Aron",117.9,260,7
Old Dominion,USA,1989-07-01,Kent,6,5,1.96,1,24,Old Dominion/USA,Bazemore,2012,203145,G,1610612757,"Bazemore, Kent",91.2,201,7
 ,USA,2000-06-12,Darius,6,9,2.06,1,7, USA/USA,Bazley,,1629647,F,1610612760,"Bazley, Darius",94.3,208,0
Florida,USA,1993-06-28,Bradley,6,5,1.96,1,3,Florida/USA,Beal,2012,203078,G,1610612764,"Beal, Bradley",93.9,207,7
Florida State,USA,1996-11-26,Malik,6,5,1.96,1,25,Florida State/USA,Beasley,2016,1627736,G,1610612743,"Beasley, Malik",88.5,195,3
 ,Italy,1986-03-25,Marco,6,5,1.96,1,18,Fortitudo Bologna/Italy,Belinelli,2007,201158,G-F,1610612759,"Belinelli, Marco",95.3,210,12
Oregon,USA,1995-01-07,Jordan,6,9,2.06,1,,Oregon/USA,Bell,2017,1628395,F,1610612750,"Bell, Jordan",101.6,224,2
"St. Joseph's, PA",USA,1994-07-04,DeAndre',6,6,1.98,1,95,St. Joseph's (PA)/USA,Bembry,2016,1627761,G-F,1610612737,"Bembry, DeAndre'",95.3,210,3
 ,Croatia,1997-11-17,Dragan,7,1,2.16,1,,Croatia/Croatia,Bender,2016,1627733,F,1610612749,"Bender, Dragan",102.1,225,3
UNLV,Canada,1993-03-14,Anthony,6,8,2.03,1,30,Nevada-Las Vegas/Canada,Bennett,2013,203461,F,1610612745,"Bennett, Anthony",111.1,245,4
 ,Latvia,1992-11-12,Davis,6,10,2.08,1,, Latvia/Latvia,Bertans,2016,202722,F,1610612764,"Bertans, Davis",102.1,225,3
Arkansas,USA,1988-07-12,Patrick,6,1,1.85,1,21,Arkansas/USA,Beverley,2012,201976,G,1610612746,"Beverley, Patrick",83.9,185,7
UNLV,Canada,1992-09-28,Khem,6,9,2.06,1,24,Nevada-Las Vegas/Canada,Birch,2017,203920,C,1610612753,"Birch, Khem",105.7,233,2
 ,Georgia,1999-07-20,Goga,6,11,2.11,1,88, Georgia/Georgia,Bitadze,,1629048,C,1610612754,"Bitadze, Goga",111.1,245,0
 ,Democratic Republic of the Congo,1992-08-28,Bismack,6,9,2.06,1,8,Baloncesto Fuenlabrada/Democratic Republic of Cong,Biyombo,2011,202687,C,1610612766,"Biyombo, Bismack",115.7,255,8
 ,Serbia,1988-05-09,Nemanja,6,10,2.08,1,88,Fenerbahce Ulker/Serbia,Bjelica,2015,202357,F,1610612758,"Bjelica, Nemanja",106.1,234,4
Louisiana State,USA,1996-10-04,Antonio,6,4,1.93,1,9,Louisiana State/USA,Blakeney,2017,1628469,G,1610612741,"Blakeney, Antonio",87.1,192,2
Kentucky,USA,1989-12-09,Eric,6,1,1.85,1,6,Kentucky/USA,Bledsoe,2010,202339,G,1610612749,"Bledsoe, Eric",93.0,205,9
 ,Serbia,1992-08-18,Bogdan,6,6,1.98,1,8, Serbia/Serbia,Bogdanovic,2017,203992,G,1610612758,"Bogdanovic, Bogdan",93.0,205,2
 ,Croatia,1989-04-18,Bojan,6,8,2.03,1,,Croatia/Croatia,Bogdanovic,2014,202711,F,1610612762,"Bogdanovic, Bojan",98.0,216,5
University of Oregon,Sudan,1999-11-16,Bol,7,2,2.18,1,, Sudan/Sudan,Bol,,1629626,C,1610612743,"Bol, Bol",94.3,208,0
 ,Australia,1996-01-02,Jonah,6,10,2.08,1,43,Australia/Australia,Bolden,2018,1628413,F,1610612755,"Bolden, Jonah",99.8,220,1
University of Tennessee,USA,1997-11-05,Jordan,6,2,1.88,1,18,University of Tennessee/USA,Bone,,1629648,G,1610612765,"Bone, Jordan",81.2,179,0
 ,Germany,1999-11-08,Isaac,6,8,2.03,1,,Germany/Germany,Bonga,2018,1629067,G,1610612764,"Bonga, Isaac",81.6,180,1
Kentucky,USA,1996-10-30,Devin,6,6,1.98,1,1,Kentucky/USA,Booker,2015,1626164,F,1610612756,"Booker, Devin",95.3,210,4
Oregon,Canada,1993-01-11,Chris,6,10,2.08,1,25,Oregon/Canada,Boucher,2017,1628449,F,1610612761,"Boucher, Chris",90.7,200,2
 ,USA,1998-10-02,Brian,6,7,2.01,1,10, USA/USA,Bowen II,,1628968,F,1610612754,"Bowen II, Brian",86.2,190,0
Boston College,USA,1997-06-16,Ky,6,2,1.88,1,,Boston College/USA,Bowman,,1629065,G,1610612744,"Bowman, Ky",82.1,181,0
Texas,USA,1990-11-26,Avery,6,2,1.88,1,11,Texas/USA,Bradley,2010,202340,G,1610612747,"Bradley, Avery",81.6,180,9
North Carolina,USA,1998-01-08,Tony,6,10,2.08,1,13,North Carolina/USA,Bradley,2017,1628396,C,1610612762,"Bradley, Tony",112.5,248,2
College of Charleston,USA,1996-06-07,Jarrell,6,7,2.01,1,5,College of Charleston/USA,Brantley,,1629714,F,1610612762,"Brantley, Jarrell",113.4,250,0
University of Michigan,Lithuania,1999-01-08,Ignas,6,7,2.01,1,17, Lithuania/Lithuania,Brazdeikis,,1629649,F,1610612752,"Brazdeikis, Ignas",100.2,221,0
Villanova University,USA,1996-08-30,Mikal,6,7,2.01,1,25,Villanova University/USA,Bridges,2018,1628969,F,1610612756,"Bridges, Mikal",95.3,210,1
Michigan State University,USA,1998-03-21,Miles,6,7,2.01,1,0,Michigan State University/USA,Bridges,2018,1628970,F,1610612766,"Bridges, Miles",102.1,225,1
Syracuse University,Canada,1998-06-20,Oshae,6,8,2.03,1,,Syracuse University/Canada,Brissett,,1629052,F,1610612761,"Brissett, Oshae",95.3,210,0
,Australia,1990-08-23,Ryan,6,7,2.01,1,45,Australia/Australia,Broekhoff,2018,1629151,G-F,1610612742,"Broekhoff, Ryan",97.5,215,1
Virginia,USA,1992-12-11,Malcolm,6,5,1.96,1,7,Virginia/USA,Brogdon,2016,1627763,G,1610612754,"Brogdon, Malcolm",103.9,229,3
Oregon,Canada,1996-01-22,Dillon,6,6,1.98,1,24,Oregon/Canada,Brooks,2017,1628415,G-F,1610612763,"Brooks, Dillon",99.8,220,2
University of Miami,USA,1996-08-15,Bruce,6,5,1.96,1,6,University of Miami/USA,Brown,2018,1628971,G,1610612765,"Brown, Bruce",91.6,202,1
,USA,1997-02-02,Charles,6,7,2.01,1,, USA/USA,Brown,,1629718,G,1610612737,"Brown, Charles",90.3,199,0
California,USA,1996-10-24,Jaylen,6,7,2.01,1,7,California/USA,Brown,2016,1627759,G,1610612738,"Brown, Jaylen",99.8,220,3
Southern Methodist,USA,1995-02-10,Sterling,6,6,1.98,1,23,Southern Methodist/USA,Brown,2017,1628425,G,1610612749,"Brown, Sterling",105.2,232,2
University of Oregon,USA,1999-07-28,Troy,6,7,2.01,1,6,University of Oregon/USA,Brown Jr.,2018,1628972,F,1610612764,"Brown Jr., Troy",97.5,215,1
Villanova University,USA,1996-08-31,Jalen,6,3,1.9,1,13,Villanova University/USA,Brunson,2018,1628973,G,1610612742,"Brunson, Jalen",86.2,190,1
Indiana,USA,1997-07-31,Thomas,6,11,2.11,1,13,Indiana/USA,Bryant,2017,1628418,C,1610612764,"Bryant, Thomas",112.5,248,2
North Carolina,USA,1991-03-16,Reggie,6,7,2.01,1,,North Carolina/USA,Bullock,2013,203493,G-F,1610612752,"Bullock, Reggie",93.0,205,6
Michigan,USA,1992-11-12,Trey,6,1,1.85,1,,Michigan/USA,Burke,2013,203504,G,1610612755,"Burke, Trey",79.4,175,6
